912,399,536
327,192,980
355,238,278
696,573,482
100,122,644
730,499,879
654,704,934
298,337,527
423,893,989
376,970,494
738,14,954
520,639,917
57,281,980
575,316,379
748,35,696
496,757,60
964,316,586
636,14,954
524,648,872
196,343,631
987,331,945
886,196,373
7,872,588
121,593,595
803,602,150
500,197,927
86,505,294
384,448,869
309,768,698
932,444,879
732,472,980
203,287,93
809,79,708
275,711,770
773,582,563
950,424,319
851,36,53
643,908,266
768,445,912
401,891,101
355,68,301
680,296,875
645,543,759
364,118,617
814,969,37
786,607,498
765,420,327
812,50,305
793,115,78
273,632,469
147,774,780
393,859,947
715,963,309
916,167,156
683,992,254
84,397,879
127,845,812
760,626,748
605,355,741
622,334,524
155,31,482
564,767,667
642,836,360
575,139,301
471,601,773
441,123,409
83,720,875
365,891,221
234,916,248
627,676,896
924,729,118
314,890,992
902,95,682
253,871,396
408,799,723
50,453,797
988,519,521
505,319,476
908,203,129
666,472,963
98,918,679
88,43,826
820,644,662
138,655,555
88,630,734
925,607,279
845,262,656
711,96,103
816,526,284
956,509,606
886,205,289
41,688,908
227,669,269
428,538,837
742,394,654
635,773,509
49,665,602
61,763,356
638,716,82
893,122,994
966,258,669
